WEAPON,STAT,CATEGORY,VALUE
CLUB,ITEM_MELEE_WEAPON_PRICE,VALUE,1.0
CLUB,ITEM_MELEE_WEAPON_WEIGHT,WEIGHT,3.0
CLUB,ITEM_MELEE_WEAPON_PROFICIENCY_BONUS,ATTACK,2.0
CLUB,ITEM_MELEE_WEAPON_DAMAGE_DICE,DAMAGE,1.0
CLUB,ITEM_MELEE_WEAPON_DAMAGE_DICE_SIDES,DAMAGE,6.0
CLUB,ITEM_MELEE_WEAPON_TYPE,SIMPLE_MELEE,1.0
DAGGER,ITEM_MELEE_WEAPON_PRICE,VALUE,1.0
DAGGER,ITEM_MELEE_WEAPON_WEIGHT,WEIGHT,1.0
DAGGER,ITEM_MELEE_WEAPON_PROFICIENCY_BONUS,ATTACK,3.0
DAGGER,ITEM_MELEE_WEAPON_DAMAGE_DICE,DAMAGE,1.0
DAGGER,ITEM_MELEE_WEAPON_DAMAGE_DICE_SIDES,DAMAGE,4.0
DAGGER,ITEM_MELEE_WEAPON_TYPE,SIMPLE_MELEE,1.0
JAVELIN,ITEM_MELEE_WEAPON_PRICE,VALUE,5.0
JAVELIN,ITEM_MELEE_WEAPON_WEIGHT,WEIGHT,2.0
JAVELIN,ITEM_MELEE_WEAPON_PROFICIENCY_BONUS,ATTACK,2.0
JAVELIN,ITEM_MELEE_WEAPON_DAMAGE_DICE,DAMAGE,1.0
JAVELIN,ITEM_MELEE_WEAPON_DAMAGE_DICE_SIDES,DAMAGE,6.0
JAVELIN,ITEM_MELEE_WEAPON_TYPE,SIMPLE_MELEE,1.0
MACE,ITEM_MELEE_WEAPON_PRICE,VALUE,5.0
MACE,ITEM_MELEE_WEAPON_WEIGHT,WEIGHT,6.0
MACE,ITEM_MELEE_WEAPON_PROFICIENCY_BONUS,ATTACK,2.0
MACE,ITEM_MELEE_WEAPON_DAMAGE_DICE,DAMAGE,1.0
MACE,ITEM_MELEE_WEAPON_DAMAGE_DICE_SIDES,WEIGHT,8.0
MACE,ITEM_MELEE_WEAPON_TYPE,SIMPLE_MELEE,1.0
QUARTERSTAFF,ITEM_MELEE_WEAPON_PRICE,VALUE,5.0
QUARTERSTAFF,ITEM_MELEE_WEAPON_WEIGHT,WEIGHT,4.0
QUARTERSTAFF,ITEM_MELEE_WEAPON_PROFICIENCY_BONUS,ATTACK,2.0
QUARTERSTAFF,ITEM_MELEE_WEAPON_DAMAGE_DICE,DAMAGE,1.0
QUARTERSTAFF,ITEM_MELEE_WEAPON_DAMAGE_DICE_SIDES,DAMAGE,8.0
QUARTERSTAFF,ITEM_MELEE_WEAPON_TYPE,MILITARY_MELEE,1.0
LONGSWORD,ITEM_MELEE_WEAPON_PRICE,VALUE,15.0
LONGSWORD,ITEM_MELEE_WEAPON_WEIGHT,WEIGHT,4.0
LONGSWORD,ITEM_MELEE_WEAPON_PROFICIENCY_BONUS,ATTACK,3.0
LONGSWORD,ITEM_MELEE_WEAPON_DAMAGE_DICE,DAMAGE,1.0
LONGSWORD,ITEM_MELEE_WEAPON_DAMAGE_DICE_SIDES,DAMAGE,8.0
LONGSWORD,ITEM_MELEE_WEAPON_TYPE,MILITARY_MELEE,1.0
SHORT_SWORD,ITEM_MELEE_WEAPON_PRICE,VALUE,10.0
SHORT_SWORD,ITEM_MELEE_WEAPON_WEIGHT,WEIGHT,2.0
SHORT_SWORD,ITEM_MELEE_WEAPON_PROFICIENCY_BONUS,ATTACK,3.0
SHORT_SWORD,ITEM_MELEE_WEAPON_DAMAGE_DICE,DAMAGE,1.0
SHORT_SWORD,ITEM_MELEE_WEAPON_DAMAGE_DICE_SIDES,DAMAGE,6.0
SHORT_SWORD,ITEM_MELEE_WEAPON_TYPE,MILITARY_MELEE,1.0
BASTARD_SWORD,ITEM_MELEE_WEAPON_PRICE,VALUE,30.0
BASTARD_SWORD,ITEM_MELEE_WEAPON_WEIGHT,WEIGHT,6.0
BASTARD_SWORD,ITEM_MELEE_WEAPON_PROFICIENCY_BONUS,ATTACK,3.0
BASTARD_SWORD,ITEM_MELEE_WEAPON_DAMAGE_DICE,DAMAGE,1.0
BASTARD_SWORD,ITEM_MELEE_WEAPON_DAMAGE_DICE_SIDES,DAMAGE,10.0
BASTARD_SWORD,ITEM_MELEE_WEAPON_TYPE,SUPERIOR_MELEE,1.0
WARHAMMER,ITEM_MELEE_WEAPON_PRICE,VALUE,15.0
WARHAMMER,ITEM_MELEE_WEAPON_WEIGHT,WEIGHT,5.0
WARHAMMER,ITEM_MELEE_WEAPON_PROFICIENCY_BONUS,ATTACK,2.0
WARHAMMER,ITEM_MELEE_WEAPON_DAMAGE_DICE,DAMAGE,1.0
WARHAMMER,ITEM_MELEE_WEAPON_DAMAGE_DICE_SIDES,DAMAGE,10.0
WARHAMMER,ITEM_MELEE_WEAPON_TYPE,MILITARY_MELEE,1.0
MORNINGSTAR,ITEM_MELEE_WEAPON_PRICE,VALUE,10.0
MORNINGSTAR,ITEM_MELEE_WEAPON_WEIGHT,WEIGHT,8.0
MORNINGSTAR,ITEM_MELEE_WEAPON_PROFICIENCY_BONUS,ATTACK,2.0
MORNINGSTAR,ITEM_MELEE_WEAPON_DAMAGE_DICE,DAMAGE,1.0
MORNINGSTAR,ITEM_MELEE_WEAPON_DAMAGE_DICE_SIDES,DAMAGE,10.0
MORNINGSTAR,ITEM_MELEE_WEAPON_TYPE,SIMPLE_MELEE,1.0
GREATCLUB,ITEM_MELEE_WEAPON_PRICE,VALUE,1.0
GREATCLUB,ITEM_MELEE_WEAPON_WEIGHT,WEIGHT,10.0
GREATCLUB,ITEM_MELEE_WEAPON_PROFICIENCY_BONUS,ATTACK,2.0
GREATCLUB,ITEM_MELEE_WEAPON_DAMAGE_DICE,DAMAGE,2.0
GREATCLUB,ITEM_MELEE_WEAPON_DAMAGE_DICE_SIDES,DAMAGE,4.0
GREATCLUB,ITEM_MELEE_WEAPON_TYPE,SIMPLE_MELEE,1.0
