STAT_NAME,CATEGORY,DISPLAY_NAME,DESCRIPTION,CALCULATION
DAMAGE_STR_MIN,ATTACK,Strength attack minimum damage,dd,cc
DAMAGE_DEX_MIN,ATTACK,Dexterity attack minimum damage,dd,cc
DAMAGE_STR_MAX,ATTACK,Strength attack maximum damage,dd,cc
DAMAGE_DEX_MAX,ATTACK,Dexterity attack maximum damage,dd,cc
DAMAGE_STR_ROLL,ATTACK,Strength attack damage roll,dd,cc
DAMAGE_DEX_ROLL,ATTACK,Dexterity attack damage roll,dd,cc
SKILL_HISTORY_RACE_BONUS,SKILL,History Racial Bonus,Racial bonus to your ability score,Derived from the race of your character
SENSE_INSIGHT,SENSE,Passive insight,Recognize an effect as illusory,10 + Insight skill score
SENSE_PERCEPTION,SENSE,Passive perception,Notice things around you even when you are not looking for them,10 + Perception skill score
CLASS_HEALING_SURGES_PER_DAY,HIT_POINTS,Class healing surges per day,Your class determines how many healing surges you can spend in a day.,Derived from the class of your character
CLASS_HP_PER_LVL,HIT_POINTS,HP per level,How many hit points your character gains each time they level up,Derived from the class of your character
CLASS_LVL1_HP,HIT_POINTS,HP at level 1,How many hit points your selected class gets at level 1,Based on the class you selected for your character
HEALING_SURGES_PER_DAY,HIT_POINTS,Total healing surges per day,The overall total number of healing surges you can spend in a day.,Constitution modifier + class healing surges per day
MAX_HP,HIT_POINTS,Maximum HP,Maximum hit points for your character,Constitution score + Class HP at Level 1 + (Class HP pee level * (Level - 1))
SKILL_ACROBATICS,SKILL,Acrobatics,You can perform an acrobatic stunt; keep your balance on narrow or unstable surfaces; slip free from a grab or restraint or take less damage from a fall,DEX modifier + level/2 + race bonus + trained bonus - armor penalty - shield penalty
SKILL_ARCANA,SKILL,Arcana,You have picked up knowledge about magic-related lore and magic effects. This knowledge extends to information about the following planes of existence;including the creatures native to those planes: the Elemental Chaos; the Feywild; and the Shadowfell.,INT modifier + level/2 + race bonus + trained bonus
SKILL_ATHLETICS,SKILL,Athletics,Make an Athletics check to attempt physical activities that rely on muscular strength; including climbing; escaping from a grab; jumping; and swimming.,STR modifier + level/2 + race bonus + trained bonus - armor penalty - shield penalty
SKILL_BLUFF,SKILL,Bluff,You can make what’s false appear to be true; what’s outrageous seem plausible; and what’s suspicious seem ordinary. You make a Bluff check to fast-talk a guard; con a merchant; gamble; pass off a disguise or fake documentation; and otherwise tell lies.,CHA modifier + level/2 + race bonus + trained bonus
SKILL_DIPLOMACY,SKILL,Diplomacy,You can influence others with your tact; subtlety; and social grace. Make a Diplomacy check to change opinions; to inspire good will; to haggle with a patron; to demonstrate proper etiquette and decorum; or to negotiate a deal in good faith.,CHA modifier + level/2 + race bonus + trained bonus
SKILL_DUNGEONEERING,SKILL,Dungeoneering,You have picked up knowledge and skills related to dungeoneering; including finding your way through dungeon complexes; navigating winding caverns; recognizing dungeon hazards; and foraging for food in the Underdark.,WIS modifier + level/2 + race bonus + trained bonus
SKILL_ENDURANCE,SKILL,Endurance,Make an Endurance check to stave off ill effects and to push yourself beyond normal physical limits. You can hold your breath for long periods of time; forestall the debilitating effects of hunger and thirst; and swim or tread water for extended periods.,CON modifier + level/2 + race bonus + trained bonus - armor penalty - shield penalty
SKILL_HEAL,SKILL,Heal,You know how to help someone recover from wounds or debilitating conditions; including disease.,WIS modifier + level/2 + race bonus + trained bonus
SKILL_HISTORY,SKILL,History,You have picked up knowledge related to the history of a region and beyond; including the chronological record of significant events and an explanation of their causes.,INT modifier + level/2 + race bonus + trained bonus
SKILL_INSIGHT,SKILL,Insight,You can discern intent and decipher body language during social interactions. You make an Insight check to comprehend motives; to read between the lines; to get a sense of moods and attitudes; and to determine how truthful someone is being.,WIS modifier + level/2 + race bonus + trained bonus
SKILL_INTIMIDATE,SKILL,Intimidate,Make an Intimidate check to influence others through hostile actions; overt threats; and deadly persuasion.,CHA modifier + level/2 + race bonus + trained bonus
SKILL_NATURE,SKILL,Nature,Make a Nature check to remember a useful bit of knowledge about the natural world—about terrain; climate; weather; plants; and seasons—or to recognize a nature-related clue.,WIS modifier + level/2 + race bonus + trained bonus
SKILL_NATURE_RACE_BONUS,SKILL,Nature skill racial bonus,Racial skill bonus,Derived from the race of your character
SKILL_PERCEPTION,SKILL,Perception,Make a Perception check to notice clues; detect secret doors; spot imminent dangers; find traps; follow tracks; listen for sounds behind a closed door; or locate hidden objects.,WIS modifier + level/2 + race bonus + trained bonus
SKILL_PERCEPTION_RACE_BONUS,SKILL,Perception skill racial bonus,Racial skill bonus,Derived from the race of your character
SKILL_RELIGION,SKILL,Religion,You have picked up knowledge about gods; religious traditions and ceremonies; divine effects; holy symbols; and theology. This knowledge extends to information about the undead and the Astral Sea; including the creatures of that plane.,INT modifier + level/2 + race bonus + trained bonus
SKILL_STEALTH,SKILL,Stealth,Make a Stealth check to conceal yourself from enemies; slink past guards; slip away without being noticed; and sneak up on people without being seen or heard.,DEX modifier + level/2 + race bonus + trained bonus - armor penalty - shield penalty
SKILL_STREETWISE,SKILL,Streetwise,When in a settlement (a village; a town; or a city) make a Streetwise check to find out what’s going on; who the movers and shakers are; where to get what you need (and how to get there); and where not to go.,CHA modifier + level/2 + race bonus + trained bonus
SKILL_THIEVERY,SKILL,Thievery,You have picked up thieving abilities and can perform tasks that require nerves of steel and a steady hand: disabling traps; opening locks; picking pockets; and sleight of hand.,DEX modifier + level/2 + race bonus + trained bonus - armor penalty - shield penalty
ABILITY_CHA,ABILITY,Charisma,Measures your force of personality; persuasiveness and leadership,Dice roll + racial bonus
